movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
83c20b83-7881-499d-a40d-cc06b65869f8,0,0.393006,2.1918e-07,0.622241,0.000230507,98.3334,4.27819e-07,0.65115,sad
83c20b83-7881-499d-a40d-cc06b65869f8,1,0.0992172,0.0292275,1.27949,97.4537,0.837835,0.00279186,0.297701,happy
83c20b83-7881-499d-a40d-cc06b65869f8,2,0.430551,0.000310354,43.1237,0.283289,0.202208,55.5447,0.415176,surprise
83c20b83-7881-499d-a40d-cc06b65869f8,3,11.6227,0.000172137,8.82142,0.00769914,0.813382,6.84863,71.886,neutral
83c20b83-7881-499d-a40d-cc06b65869f8,4,1.42814,0.00215149,82.5964,3.8347,0.931493,11.0104,0.196761,fear
83c20b83-7881-499d-a40d-cc06b65869f8,5,0.441355,0.000695357,6.96291,4.48683,54.9007,0.0195075,33.1881,sad
83c20b83-7881-499d-a40d-cc06b65869f8,6,0.16425,1.35467e-05,94.8176,0.0564742,3.65124,0.937964,0.37247,fear
83c20b83-7881-499d-a40d-cc06b65869f8,7,0.334322,1.65737e-05,19.3911,0.0859126,62.1551,0.132878,17.9007,sad
83c20b83-7881-499d-a40d-cc06b65869f8,8,3.25349,0.00554562,16.5582,3.18614,60.7458,0.0273715,16.2234,sad
83c20b83-7881-499d-a40d-cc06b65869f8,9,1.71525,0.00661349,80.3265,3.16935,10.5317,3.23357,1.01706,fear
83c20b83-7881-499d-a40d-cc06b65869f8,10,0.0374553,8.92593e-09,35.9642,0.09566,2.13552,61.2783,0.488893,surprise
83c20b83-7881-499d-a40d-cc06b65869f8,11,3.87881,0.000186654,5.08843,11.9905,78.2304,0.00264308,0.809125,sad
83c20b83-7881-499d-a40d-cc06b65869f8,12,2.70303,0.000145178,17.8097,2.41125e-05,55.3843,0.00852028,24.0943,sad
83c20b83-7881-499d-a40d-cc06b65869f8,13,1.85462,0.00625663,21.2551,1.09996,57.3576,0.127293,18.2991,sad
83c20b83-7881-499d-a40d-cc06b65869f8,14,14.274,0.237449,44.5441,0.045862,40.1011,0.210749,0.586785,fear
83c20b83-7881-499d-a40d-cc06b65869f8,15,6.71845,0.068325,27.1387,0.284601,62.2773,0.870874,2.6417,sad
83c20b83-7881-499d-a40d-cc06b65869f8,16,4.93063,0.0158118,79.2704,0.00955358,9.66085,0.104552,6.00818,fear
83c20b83-7881-499d-a40d-cc06b65869f8,18,0.180961,9.98244e-06,9.86591,0.895651,81.6423,0.14453,7.27068,sad
83c20b83-7881-499d-a40d-cc06b65869f8,19,9.21083,0.0465589,55.6821,1.72466,25.0972,1.22896,7.00966,fear
83c20b83-7881-499d-a40d-cc06b65869f8,20,19.9541,2.65616,37.562,0.824688,33.7579,1.57368,3.67151,fear
83c20b83-7881-499d-a40d-cc06b65869f8,21,17.9594,1.38171e-05,39.495,0.00183332,28.5179,0.288046,13.7378,fear
83c20b83-7881-499d-a40d-cc06b65869f8,22,3.26105,0.0235612,8.21092,0.503053,61.8327,0.127977,26.0407,sad
83c20b83-7881-499d-a40d-cc06b65869f8,23,1.37726,5.30446e-05,31.2392,0.00749246,51.8354,0.0223272,15.5183,sad
83c20b83-7881-499d-a40d-cc06b65869f8,24,0.12474,0.000143349,99.0313,0.0341805,0.629367,0.171572,0.00869146,fear
83c20b83-7881-499d-a40d-cc06b65869f8,25,1.18296,1.05162e-05,0.76409,0.00260429,26.7911,0.000905407,71.2583,neutral
83c20b83-7881-499d-a40d-cc06b65869f8,26,5.36204,0.0252432,64.1216,0.640341,25.3343,3.07287,1.44362,fear
