movie_id,image_seq,gaze,blink,eye_offset
83c20b83-7881-499d-a40d-cc06b65869f8,1,1,1,5.3099
83c20b83-7881-499d-a40d-cc06b65869f8,2,0,1,47.5657
83c20b83-7881-499d-a40d-cc06b65869f8,3,1,0,-1.2162
83c20b83-7881-499d-a40d-cc06b65869f8,4,1,0,0.6371
83c20b83-7881-499d-a40d-cc06b65869f8,5,1,0,1.2903
83c20b83-7881-499d-a40d-cc06b65869f8,6,1,0,-5.2446
83c20b83-7881-499d-a40d-cc06b65869f8,7,1,0,0.6704
83c20b83-7881-499d-a40d-cc06b65869f8,8,1,0,-2.2763
83c20b83-7881-499d-a40d-cc06b65869f8,9,0,1,33.6107
83c20b83-7881-499d-a40d-cc06b65869f8,10,1,0,3.4195
83c20b83-7881-499d-a40d-cc06b65869f8,11,1,0,1.8695
83c20b83-7881-499d-a40d-cc06b65869f8,12,0,1,46.5837
83c20b83-7881-499d-a40d-cc06b65869f8,13,1,0,-0.6667
83c20b83-7881-499d-a40d-cc06b65869f8,14,1,0,2.6991
83c20b83-7881-499d-a40d-cc06b65869f8,15,1,0,-2.6057
83c20b83-7881-499d-a40d-cc06b65869f8,16,0,0,28.1898
83c20b83-7881-499d-a40d-cc06b65869f8,17,0,0,30.8269
83c20b83-7881-499d-a40d-cc06b65869f8,19,1,0,-2.1877
83c20b83-7881-499d-a40d-cc06b65869f8,20,1,0,6.0667
83c20b83-7881-499d-a40d-cc06b65869f8,21,1,0,-6.3148
83c20b83-7881-499d-a40d-cc06b65869f8,22,1,0,2.1202
83c20b83-7881-499d-a40d-cc06b65869f8,23,1,0,4.9201
83c20b83-7881-499d-a40d-cc06b65869f8,24,1,0,-1.1619
83c20b83-7881-499d-a40d-cc06b65869f8,25,1,0,-5.3289
83c20b83-7881-499d-a40d-cc06b65869f8,26,0,1,31.5177
83c20b83-7881-499d-a40d-cc06b65869f8,27,1,0,-2.1235
83c20b83-7881-499d-a40d-cc06b65869f8,28,0,1,35.813
83c20b83-7881-499d-a40d-cc06b65869f8,29,1,0,-2.3104
83c20b83-7881-499d-a40d-cc06b65869f8,30,0,0,33.5107
83c20b83-7881-499d-a40d-cc06b65869f8,31,1,0,1.6772
83c20b83-7881-499d-a40d-cc06b65869f8,32,1,0,9.4981
83c20b83-7881-499d-a40d-cc06b65869f8,33,1,0,2.196
83c20b83-7881-499d-a40d-cc06b65869f8,34,1,0,3.2007
83c20b83-7881-499d-a40d-cc06b65869f8,35,1,0,10.9796
83c20b83-7881-499d-a40d-cc06b65869f8,36,1,0,-5.4158
83c20b83-7881-499d-a40d-cc06b65869f8,37,1,0,-0.8348
83c20b83-7881-499d-a40d-cc06b65869f8,38,1,0,7.6422
83c20b83-7881-499d-a40d-cc06b65869f8,39,1,0,6.1354
83c20b83-7881-499d-a40d-cc06b65869f8,40,0,0,34.3179
83c20b83-7881-499d-a40d-cc06b65869f8,41,1,0,-1.5918
83c20b83-7881-499d-a40d-cc06b65869f8,42,0,0,54.1387
83c20b83-7881-499d-a40d-cc06b65869f8,43,1,0,4.4624
83c20b83-7881-499d-a40d-cc06b65869f8,44,1,0,3.8515
