movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion
813af424-a584-4417-b7ee-0d4c705e83c9,0,0.33447,1.19928e-06,13.7867,0.302347,0.539346,10.4479,74.5893,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,1,0.840043,9.23426e-05,2.24265,0.560995,0.417769,0.0221573,95.9163,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,2,2.2902,0.000180987,5.7317,0.132673,3.99038,0.0112243,87.8436,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,3,0.417658,7.77657e-07,0.0636674,0.0170221,0.10712,0.000130422,99.3944,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,4,0.219031,5.96938e-06,2.21105,0.103567,0.352093,0.0351897,97.0791,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,5,17.0809,0.00210251,21.5372,0.418204,0.822231,0.237434,59.902,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,6,0.191912,7.32534e-06,1.95819,0.647679,0.331687,0.684438,96.1861,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,7,3.20399,0.00138361,26.628,0.737735,1.48898,7.59505,60.3449,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,8,0.425868,3.06735e-05,1.47856,0.446717,0.450304,0.0191504,97.1794,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,9,3.70908,0.00289699,43.3286,0.474712,0.700955,13.959,37.8247,fear
813af424-a584-4417-b7ee-0d4c705e83c9,10,3.81024,0.000872779,10.0654,0.289551,2.71481,0.327652,82.7915,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,11,1.18958,8.12408e-05,0.582621,0.177855,0.858312,0.0216088,97.1699,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,12,3.68363,0.00037349,2.26043,71.7457,3.31381,0.00292236,18.9932,happy
813af424-a584-4417-b7ee-0d4c705e83c9,13,1.3246,7.05862e-07,0.296672,0.00637078,2.96325,1.59123e-05,95.4091,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,14,1.37538,8.92055e-07,0.256532,0.0120905,1.74936,3.33618e-05,96.6066,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,15,30.8574,0.000435154,1.80892,0.0229128,10.2781,7.57029e-05,57.0322,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,16,38.8325,0.0404947,38.3363,8.80618,1.28393,1.93628,10.7643,angry
813af424-a584-4417-b7ee-0d4c705e83c9,17,39.4038,0.0227614,1.13763,0.0610935,9.82133,0.000223246,49.5531,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,18,0.769982,1.17494e-07,0.0873852,0.00980365,0.048419,0.00721475,99.0772,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,19,59.1938,0.0941533,16.6437,3.13094,2.06814,0.158067,18.7112,angry
813af424-a584-4417-b7ee-0d4c705e83c9,20,1.1315,0.000153994,3.51517,2.67621,1.46073,0.0401437,91.1761,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,21,0.115426,1.41768e-08,0.0459355,0.0194747,0.127372,0.00222245,99.6896,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,22,0.336177,2.93225e-07,0.0659282,0.0520071,0.340095,0.00101805,99.2048,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,23,1.73904,1.32807e-05,11.1766,0.881014,0.326297,0.377827,85.4992,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,24,0.134471,4.81583e-08,0.74308,0.0384499,0.118148,0.0404547,98.9254,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,25,2.83187,1.89156e-07,0.261086,34.5715,0.116215,0.0114635,62.2079,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,26,0.186377,2.17543e-06,0.99731,0.00714948,0.458489,5.3081e-05,98.3506,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,27,1.97038,0.00228043,52.6894,0.233979,0.741742,4.83207,39.5301,fear
813af424-a584-4417-b7ee-0d4c705e83c9,28,3.43408,0.000277318,7.85282,1.73661,0.511124,0.805685,85.6594,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,29,12.7836,0.00823453,45.2055,1.09613,0.752258,2.17514,37.9792,fear
813af424-a584-4417-b7ee-0d4c705e83c9,30,0.820978,2.45278e-07,0.092223,0.0249707,0.154484,0.0253485,98.882,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,31,25.8409,0.00242385,20.2286,10.8481,7.49415,1.27586,34.31,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,32,0.501847,2.01745e-07,0.411384,0.0626592,1.38724,3.2497e-05,97.6368,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,33,1.32458,0.000141016,8.32737,0.723361,0.830741,0.454529,88.3393,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,34,0.817064,0.000182368,14.5066,13.8795,0.369036,0.0820124,70.3456,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,35,8.44287,0.000537598,1.21617,4.02081,3.10494,0.418474,82.7962,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,36,0.312893,6.57285e-06,0.275164,0.0260521,0.304198,0.00154302,99.0801,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,37,3.4009,0.00159409,51.5892,0.462831,1.13323,0.058503,43.3537,fear
813af424-a584-4417-b7ee-0d4c705e83c9,38,0.140588,5.16679e-08,0.0681255,0.00507321,0.328096,4.23986e-05,99.4581,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,39,1.44018,2.29615e-05,1.33425,0.336672,0.206476,0.0557951,96.6266,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,40,0.0372631,1.26819e-07,0.693179,0.309968,0.228459,0.286259,98.4449,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,41,1.44038,2.3129e-06,0.0378843,1.99013,0.175787,0.136774,96.219,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,42,1.2848,5.38253e-07,0.719903,0.0170174,0.158331,0.032449,97.7875,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,43,8.87454,0.000106094,49.3023,1.07666,0.382636,6.58769,33.7761,fear
813af424-a584-4417-b7ee-0d4c705e83c9,44,3.27669,3.33168e-07,0.957441,0.00299637,6.2102,3.68351e-05,89.5526,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,45,1.65495,2.64983e-05,4.44322,0.118131,0.367697,0.0700523,93.3459,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,46,30.431,0.316243,33.2726,1.0021,8.67419,5.70101,20.6028,fear
813af424-a584-4417-b7ee-0d4c705e83c9,47,50.9612,0.00675276,5.73675,0.596607,7.01772,0.108846,35.5721,angry
813af424-a584-4417-b7ee-0d4c705e83c9,48,0.136583,1.39445e-08,0.323874,0.0369913,0.217193,0.0121841,99.2732,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,49,14.1128,0.0139332,11.342,0.341057,2.84191,0.0413143,71.307,neutral
813af424-a584-4417-b7ee-0d4c705e83c9,50,28.761,0.00766972,32.2824,0.8944,0.544774,1.95413,35.5557,neutral
