id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob,positive,negative,neutral,confident,hesitant,concise,enthusiastic,speech_speed
0,0,0.0,3.0, My name is Michael Guzman and I am 21 years old.,"[50364, 1222, 1315, 307, 42854, 4271, 508, 1527, 29530, 293, 286, 669, 5080, 924, 1331, 13, 50514]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.46338170766830444,0.25366634130477905,0.2829520106315613,0.8390983939170837,0.8507011532783508,0.628546953201294,0.4432036876678467,3.6666666666666665
1,0,3.0,7.36," Hailing from a small family in Varanasi, I had been there most of my life, but MBA has","[50514, 389, 23315, 490, 257, 1359, 1605, 294, 14662, 282, 8483, 11, 286, 632, 668, 456, 881, 295, 452, 993, 11, 457, 26674, 575, 50732]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.49888336658477783,0.2752511501312256,0.2258654534816742,0.8642367124557495,0.7178081274032593,0.5943070650100708,0.3826967179775238,4.128440366972477
2,0,7.36,11.36," given me the experience of living alone for the first time, which has been quite tough","[50732, 2212, 385, 264, 1752, 295, 2647, 3312, 337, 264, 700, 565, 11, 597, 575, 668, 1596, 4930, 50932]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.09621210396289825,0.7319007515907288,0.17188718914985657,0.0011639114236459136,0.8902847170829773,0.1480017602443695,0.004133677575737238,4.000000000000001
3,0,11.36,12.84, and challenging for me.,"[50932, 293, 7595, 337, 385, 13, 51006]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.08709073066711426,0.8794435858726501,0.03346562758088112,0.002382658189162612,0.9945221543312073,0.006319231819361448,0.4709649085998535,2.7027027027027017
4,0,12.84,16.8, I completed my school being one of the top students of my batch and also being a part,"[51006, 286, 7365, 452, 1395, 885, 472, 295, 264, 1192, 1731, 295, 452, 15245, 293, 611, 885, 257, 644, 51204]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.8238539099693298,0.09551314264535904,0.08063291758298874,0.9383609294891357,0.2308177798986435,0.5213455557823181,0.7222312688827515,4.545454545454544
5,0,16.8,20.84, of the school student council as the activity head of the school.,"[51204, 295, 264, 1395, 3107, 9209, 382, 264, 5191, 1378, 295, 264, 1395, 13, 51406]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.5394851565361023,0.2498229295015335,0.21069197356700897,0.8467568755149841,0.7777634263038635,0.49372515082359314,0.5318901538848877,2.9702970297029707
6,0,20.84,25.48," Later on, I gave the undergraduate entrance exam of BHU securing a rank in the top 1.2%","[51406, 11965, 322, 11, 286, 2729, 264, 19113, 12014, 1139, 295, 363, 39, 52, 33640, 257, 6181, 294, 264, 1192, 502, 13, 17, 4, 51638]",0.0,-0.3374337122990535,1.647457627118644,0.16666695475578308,0.7994199395179749,0.09222211688756943,0.10835783928632736,0.7567638158798218,0.4792464077472687,0.5761923789978027,0.4090287685394287,3.6637931034482754
7,2548,25.48,31.2," and pursued to become honours from Varanasi University, but unfortunately, due to COVID-19,","[50364, 293, 34893, 281, 1813, 2157, 5067, 490, 14662, 282, 8483, 3535, 11, 457, 7015, 11, 3462, 281, 4566, 12, 3405, 11, 50650]",0.0,-0.3895196830276894,1.606060606060606,0.574234664440155,0.010478818789124489,0.9713783264160156,0.018142808228731155,0.027668694034218788,0.7179649472236633,0.16360431909561157,0.015335924923419952,2.2727272727272734
8,2548,31.2,33.6, most of my college life was spent online.,"[50650, 881, 295, 452, 3859, 993, 390, 4418, 2950, 13, 50770]",0.0,-0.3895196830276894,1.606060606060606,0.574234664440155,0.25040894746780396,0.41325491666793823,0.3363361358642578,0.5312245488166809,0.6727012395858765,0.23780803382396698,0.07274292409420013,3.3333333333333304
9,2548,33.6,38.04," During my very day days when I had the opportunity to put my foot in the college, I volunteered","[50770, 6842, 452, 588, 786, 1708, 562, 286, 632, 264, 2650, 281, 829, 452, 2671, 294, 264, 3859, 11, 286, 41213, 50992]",0.0,-0.3895196830276894,1.606060606060606,0.574234664440155,0.6397565007209778,0.20806299149990082,0.152180477976799,0.8965435028076172,0.4386151432991028,0.692277193069458,0.8828724026679993,4.279279279279281
